valor_gasto,edad,salario,edad_salario
150000.0,54,4900000,264600000
582069.6,55,3000000,165000000
208008.0,55,7000000,385000000
860250.0,32,7000000,224000000
895444.0,37,1500000,55500000
967129.0,33,1600000,52800000
177080.0,30,2000000,60000000
638466.0,34,1500000,51000000
350000.0,52,2000000,104000000
328276.0,38,1600000,60800000
934782.0,46,1500000,69000000
999986.0,50,1800000,90000000
216104.8888888889,50,2000000,100000000
1003500.0,37,2500000,92500000
690520.0,37,2800000,103600000
138222.0,51,2000000,102000000
356708.8235294118,53,15000000,795000000
138874.0,48,2000000,96000000
754068.4986866034,58,2500000,145000000
674402.0,44,2500000,110000000
461958.0,26,2000000,52000000
379793.53846153844,46,1500000,69000000
228939.5744680851,45,1450000,65250000
930185.2941176472,34,1500000,51000000
672750.0,41,2500000,102500000
368833.0,37,1600000,59200000
324638.0,24,2100000,50400000
657262.3598820061,64,5200000,332800000
945880.0,44,4500000,198000000
859959.0,61,3500000,213500000
164171.69530480466,35,3837000,134295000
609278.4782608696,24,1500000,36000000
693484.3359818389,50,6500000,325000000
282473.0,56,2800000,156800000
1838.7096774193549,52,1900000,98800000
581072.0,25,1500000,37500000
282282.6461538461,44,3400000,149600000
307236.76595744677,32,3200000,102400000
406735.33333333326,45,3000000,135000000
880970.0,34,4800000,163200000
403706.66666666674,48,2800000,134400000
373942.202247191,51,3100000,158100000
1868631.6,55,6000000,330000000
727527.457808733,26,2500000,65000000
779757.0,29,1500000,43500000
410182.0,55,2000000,110000000
1173361.0,40,2241000,89640000
423162.00000000006,36,3000000,108000000
842096.0000000001,32,2850000,91200000
293030.0,26,1800000,46800000
222229.66666666663,56,1700000,95200000
1176795.0,51,3000000,153000000
36808.0,42,1600000,67200000
370846.1538461538,25,1500000,37500000
623382.0,36,1500000,54000000
2607604.0,54,5000000,270000000
501628.0,49,4000000,196000000
721542.0,46,4000000,184000000
272100.86666666664,47,1700000,79900000
179114.00000000003,30,2600000,78000000
302400.95238095237,49,1450000,71050000
1346774.0,38,2200000,83600000
418649.5,33,2000000,66000000
125830.0,37,1800000,66600000
280000.0,31,3200000,99200000
853929.0,37,2800000,103600000
1017604.0,42,1800000,75600000
491595.3170731707,33,2600000,85800000
1031560.0,54,2000000,108000000
21116.0,43,3500000,150500000
266768.0,27,1600000,43200000
600000.0,51,1800000,91800000
97167.75,33,1700000,56100000
135987.6923076923,40,3000000,120000000
526644.375,33,3000000,99000000
698104.0,27,3000000,81000000
330440.0,51,1700000,86700000
431892.8827781551,66,3500000,231000000
774080.0,52,2700000,140400000
1066610.0,44,12000000,528000000
511440.0,27,1455000,39285000
949200.0,53,1800000,95400000
714568.0,32,2400000,76800000
647116.0,60,2900000,174000000
97082.66666666669,51,2000000,102000000
1267739.0,51,2000000,102000000
477183.0,60,1500000,90000000
574703.7931034482,42,1500000,63000000
332481.04166666674,30,1700000,51000000
578014.0,50,3000000,150000000
220848.0,31,1500000,46500000
23345.454545454544,42,1800000,75600000
607006.0,44,2232800,98243200
149097.0,46,2400000,110400000
300823.4349919743,45,3000000,135000000
831390.0,59,1500000,88500000
79240.0,40,2500000,100000000
93506.57894736844,42,1500000,63000000
907082.3076923076,59,3000000,177000000
